what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343023100492
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343023125876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343023126832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343023185362
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343023189888
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1343023238216
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343023238892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343023267102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343023267207
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343023269030
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1343023280463
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343023283344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343023286127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343023298940
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343023299067
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343023307746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343023313780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343023313950
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1343023324697
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343023373260
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1343023469081
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343023472078
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1343023504685
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1343023510890
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343023511334
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343023532926
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343023607830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343023609765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343023696270
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343023704760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343023721685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343023738875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343023740456
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343023742222
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343023750128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343023765669
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343023791920
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1343023794146
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1343023794240
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1343023794245
started,bundle,com.android.ide.eclipse.ndk,20.0.1.v201207132230-403220,"com.android.ide.eclipse.ndk",1343023794366
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343023803617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343023842668
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343023845173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343023847321
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343023851380
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343023852090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343023852728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343023854342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343023854432
